our_soc_code,our_name,felten_soc_code,felten_soc_name,felten_soc_code_2010_final,felten_soc_title,felten_score,match_basis,manual_notes,review_source
49-9052,Telecommunications Line Installers and Repairers,49-9052,Telecommunications Line Installers and Repairers,49-9052,Telecommunications Line Installers and Repairers,-1.083883,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9061,Camera and Photographic Equipment Repairers,49-9061,Camera and Photographic Equipment Repairers,49-9061,Camera and Photographic Equipment Repairers,0.0546422,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9062,Medical Equipment Repairers,49-9062,Medical Equipment Repairers,49-9062,Medical Equipment Repairers,-0.2768838,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9063,Musical Instrument Repairers and Tuners,49-9063,Musical Instrument Repairers and Tuners,49-9063,Musical Instrument Repairers and Tuners,-0.5306271,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9064,Watch and Clock Repairers,49-9064,Watch Repairers,49-9064,Watch Repairers,-0.2123996,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9069,"Precision Instrument and Equipment Repairers, All Other",49-9069,"Precision Instrument and Equipment Repairers, All Other",,,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
49-9071,"Maintenance and Repair Workers, General",49-9071,"Maintenance and Repair Workers, General",49-9071,"Maintenance and Repair Workers, General",-1.014408,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9081,Wind Turbine Service Technicians,49-9081,Wind Turbine Service Technicians,49-9081,Wind Turbine Service Technicians,-0.9709935,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",-0.7233995,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9092,Commercial Divers,49-9092,Commercial Divers,49-9092,Commercial Divers,-1.102728,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9094,Locksmiths and Safe Repairers,49-9094,Locksmiths and Safe Repairers,49-9094,Locksmiths and Safe Repairers,-0.8657498,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9095,Manufactured Building and Mobile Home Installers,49-9095,Manufactured Building and Mobile Home Installers,49-9095,Manufactured Building and Mobile Home Installers,-1.414062,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9096,Riggers,49-9096,Riggers,49-9096,Riggers,-1.221519,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9097,Signal and Track Switch Repairers,49-9097,Signal and Track Switch Repairers,49-9097,Signal and Track Switch Repairers,-0.858221,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",49-9098,"Helpers--Installation, Maintenance, and Repair Workers",49-9098,"Helpers--Installation, Maintenance, and Repair Workers",-1.346555,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9099,"Installation, Maintenance, and Repair Workers, All Other",49-9099,"Installation, Maintenance, and Repair Workers, All Other",49-9099,"Installation, Maintenance, and Repair Workers, All Other",-0.5900791,raw_crosswalk_deduplicated,,notebook_raw_soc_bridge
51-1011,First-Line Supervisors of Production and Operating Workers,51-1011,First-Line Supervisors/Managers of Production and Operating Workers,51-1011,First-Line Supervisors/Managers of Production and Operating Workers,-0.0845282,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",-0.8684706,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-2021,"Coil Winders, Tapers, and Finishers",51-2021,"Coil Winders, Tapers, and Finishers",51-2021,"Coil Winders, Tapers, and Finishers",-0.8289722,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",51-2023,Electromechanical Equipment Assemblers,51-2023,Electromechanical Equipment Assemblers,-0.4977276,manual_override,Notebook lock for missing-score review,notebook_locked_missing_score
51-2031,Engine and Other Machine Assemblers,51-2031,Engine and Other Machine Assemblers,51-2031,Engine and Other Machine Assemblers,-0.9561453,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-2041,Structural Metal Fabricators and Fitters,51-2041,Structural Metal Fabricators and Fitters,51-2041,Structural Metal Fabricators and Fitters,-1.076307,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-2051,Fiberglass Laminators and Fabricators,51-2091,Fiberglass Laminators and Fabricators,51-2091,Fiberglass Laminators and Fabricators,-1.216496,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
51-2090,Miscellaneous Assemblers and Fabricators,51-2092,Team Assemblers,51-2092,Team Assemblers,-0.8305441,manual_override,Notebook lock for missing-score review,notebook_locked_missing_score
51-3011,Bakers,51-3011,Bakers,51-3011,Bakers,-0.3852989,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-3021,Butchers and Meat Cutters,51-3021,Butchers and Meat Cutters,51-3021,Butchers and Meat Cutters,-0.9709924,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",-1.10563,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-3023,Slaughterers and Meat Packers,51-3023,Slaughterers and Meat Packers,51-3023,Slaughterers and Meat Packers,-1.834668,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",-0.758859,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-3092,Food Batchmakers,51-3092,Food Batchmakers,51-3092,Food Batchmakers,-0.3791114,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-3093,Food Cooking Machine Operators and Tenders,51-3093,Food Cooking Machine Operators and Tenders,51-3093,Food Cooking Machine Operators and Tenders,-0.5559894,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-3099,"Food Processing Workers, All Other",51-3099,"Food Processing Workers, All Other",,,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",-1.234352,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",-0.8046677,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",-1.08921,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",-1.036569,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.7598132,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.9901662,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-1.06734,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",-0.8703219,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4041,Machinists,51-4041,Machinists,51-4041,Machinists,-0.8675535,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4051,Metal-Refining Furnace Operators and Tenders,51-4051,Metal-Refining Furnace Operators and Tenders,51-4051,Metal-Refining Furnace Operators and Tenders,-1.167465,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4052,"Pourers and Casters, Metal",51-4052,"Pourers and Casters, Metal",51-4052,"Pourers and Casters, Metal",-1.00914,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4061,"Model Makers, Metal and Plastic",51-4061,"Model Makers, Metal and Plastic",51-4061,"Model Makers, Metal and Plastic",-0.7421977,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4062,"Patternmakers, Metal and Plastic",51-4062,"Patternmakers, Metal and Plastic",51-4062,"Patternmakers, Metal and Plastic",-0.6131331,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4071,Foundry Mold and Coremakers,51-4071,Foundry Mold and Coremakers,51-4071,Foundry Mold and Coremakers,-1.740349,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",-1.146139,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.74266,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4111,Tool and Die Makers,51-4111,Tool and Die Makers,51-4111,Tool and Die Makers,-0.5317897,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4121,"Welders, Cutters, Solderers, and Brazers",51-4121,"Welders, Cutters, Solderers, and Brazers",51-4121,"Welders, Cutters, Solderers, and Brazers",-1.197596,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",-1.002411,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",-1.092486,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4192,"Layout Workers, Metal and Plastic",51-4192,"Lay-Out Workers, Metal and Plastic",51-4192,"Lay-Out Workers, Metal and Plastic",-0.7221353,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",-0.8999876,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4194,"Tool Grinders, Filers, and Sharpeners",51-4194,"Tool Grinders, Filers, and Sharpeners",51-4194,"Tool Grinders, Filers, and Sharpeners",-0.8809238,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-4199,"Metal Workers and Plastic Workers, All Other",51-4199,"Metal Workers and Plastic Workers, All Other",,,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
51-5111,Prepress Technicians and Workers,51-5111,Prepress Technicians and Workers,51-5111,Prepress Technicians and Workers,0.4107973,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-5112,Printing Press Operators,51-5112,Printing Press Operators,51-5112,Printing Press Operators,-0.7093881,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-5113,Print Binding and Finishing Workers,51-5113,Print Binding and Finishing Workers,51-5113,Print Binding and Finishing Workers,-0.9062089,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6011,Laundry and Dry-Cleaning Workers,51-6011,Laundry and Dry-Cleaning Workers,51-6011,Laundry and Dry-Cleaning Workers,-1.054399,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6021,"Pressers, Textile, Garment, and Related Materials",51-6021,"Pressers, Textile, Garment, and Related Materials",51-6021,"Pressers, Textile, Garment, and Related Materials",-1.950063,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6031,Sewing Machine Operators,51-6031,Sewing Machine Operators,51-6031,Sewing Machine Operators,-0.9639661,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6041,Shoe and Leather Workers and Repairers,51-6041,Shoe and Leather Workers and Repairers,51-6041,Shoe and Leather Workers and Repairers,-0.990912,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6042,Shoe Machine Operators and Tenders,51-6042,Shoe Machine Operators and Tenders,51-6042,Shoe Machine Operators and Tenders,-1.029855,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6051,"Sewers, Hand",51-6051,"Sewers, Hand",51-6051,"Sewers, Hand",-0.5987218,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6052,"Tailors, Dressmakers, and Custom Sewers",51-6052,"Tailors, Dressmakers, and Custom Sewers",51-6052,"Tailors, Dressmakers, and Custom Sewers",-0.4305268,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,-0.8609312,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",-1.022949,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",-1.241662,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",-1.392929,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",-0.8596925,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6092,Fabric and Apparel Patternmakers,51-6092,Fabric and Apparel Patternmakers,51-6092,Fabric and Apparel Patternmakers,-0.0831096,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6093,Upholsterers,51-6093,Upholsterers,51-6093,Upholsterers,-1.313735,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",51-6099,"Textile, Apparel, and Furnishings Workers, All Other",,,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
51-7011,Cabinetmakers and Bench Carpenters,51-7011,Cabinetmakers and Bench Carpenters,51-7011,Cabinetmakers and Bench Carpenters,-1.327489,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-7021,Furniture Finishers,51-7021,Furniture Finishers,51-7021,Furniture Finishers,-1.197727,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",-1.165031,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",-1.130357,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-7099,"Woodworkers, All Other",51-7099,"Woodworkers, All Other",,,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
51-8011,Nuclear Power Reactor Operators,51-8011,Nuclear Power Reactor Operators,51-8011,Nuclear Power Reactor Operators,0.7705302,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-8012,Power Distributors and Dispatchers,51-8012,Power Distributors and Dispatchers,51-8012,Power Distributors and Dispatchers,0.5012214,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-8013,Power Plant Operators,51-8013,Power Plant Operators,51-8013,Power Plant Operators,-0.3482779,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-8021,Stationary Engineers and Boiler Operators,51-8021,Stationary Engineers and Boiler Operators,51-8021,Stationary Engineers and Boiler Operators,-0.5032496,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-8031,Water and Wastewater Treatment Plant and System Operators,51-8031,Water and Liquid Waste Treatment Plant and System Operators,51-8031,Water and Liquid Waste Treatment Plant and System Operators,-0.44501,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-8091,Chemical Plant and System Operators,51-8091,Chemical Plant and System Operators,51-8091,Chemical Plant and System Operators,-0.3831282,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-8092,Gas Plant Operators,51-8092,Gas Plant Operators,51-8092,Gas Plant Operators,-0.2982082,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",-0.370036,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-8099,"Plant and System Operators, All Other",51-8099,"Plant and System Operators, All Other",51-8099,"Plant and System Operators, All Other",-0.6702387,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9011,Chemical Equipment Operators and Tenders,51-9011,Chemical Equipment Operators and Tenders,51-9011,Chemical Equipment Operators and Tenders,-0.511521,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",-0.9379141,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",-1.043476,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9022,"Grinding and Polishing Workers, Hand",51-9022,"Grinding and Polishing Workers, Hand",51-9022,"Grinding and Polishing Workers, Hand",-1.146524,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",-0.819664,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9031,"Cutters and Trimmers, Hand",51-9031,"Cutters and Trimmers, Hand",51-9031,"Cutters and Trimmers, Hand",-0.9479839,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",-1.079282,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",-1.042151,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",-0.9582346,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",-0.0293395,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9071,Jewelers and Precious Stone and Metal Workers,51-9071,Jewelers and Precious Stone and Metal Workers,51-9071,Jewelers and Precious Stone and Metal Workers,-0.1560197,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9081,Dental Laboratory Technicians,51-9081,Dental Laboratory Technicians,51-9081,Dental Laboratory Technicians,0.0013206,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9082,Medical Appliance Technicians,51-9082,Medical Appliance Technicians,51-9082,Medical Appliance Technicians,-0.4949538,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9083,Ophthalmic Laboratory Technicians,51-9083,Ophthalmic Laboratory Technicians,51-9083,Ophthalmic Laboratory Technicians,-0.5966759,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9111,Packaging and Filling Machine Operators and Tenders,51-9111,Packaging and Filling Machine Operators and Tenders,51-9111,Packaging and Filling Machine Operators and Tenders,-0.978608,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9123,"Painting, Coating, and Decorating Workers",51-9123,"Painting, Coating, and Decorating Workers",51-9123,"Painting, Coating, and Decorating Workers",-0.9705587,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",-1.121331,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
51-9141,Semiconductor Processing Technicians,51-9141,Semiconductor Processors,51-9141,Semiconductor Processors,-0.6372312,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9151,Photographic Process Workers and Processing Machine Operators,51-9151,Photographic Process Workers and Processing Machine Operators,51-9151,Photographic Process Workers and Processing Machine Operators,-0.3615806,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9161,Computer Numerically Controlled Tool Operators,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",-0.6737444,accepted_suggested_join,Same SOC major group with moderate title alignment.,recommended_felten_soc_overrides_initial
51-9162,Computer Numerically Controlled Tool Programmers,51-4012,Numerical Tool and Process Control Programmers,51-4012,Numerical Tool and Process Control Programmers,-0.0241824,accepted_suggested_join,Same SOC major group with moderate title alignment.,recommended_felten_soc_overrides_initial
51-9191,Adhesive Bonding Machine Operators and Tenders,51-9191,Cementing and Gluing Machine Operators and Tenders,51-9191,Cementing and Gluing Machine Operators and Tenders,-1.311418,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",-1.141885,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9193,Cooling and Freezing Equipment Operators and Tenders,51-9193,Cooling and Freezing Equipment Operators and Tenders,51-9193,Cooling and Freezing Equipment Operators and Tenders,-0.9604952,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9194,Etchers and Engravers,51-9194,Etchers and Engravers,51-9194,Etchers and Engravers,-0.6395226,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",-1.183408,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",51-9196,"Paper Goods Machine Setters, Operators, and Tenders",51-9196,"Paper Goods Machine Setters, Operators, and Tenders",-0.8740445,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9197,Tire Builders,51-9197,Tire Builders,51-9197,Tire Builders,-1.610915,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9198,Helpers--Production Workers,51-9198,Helpers--Production Workers,51-9198,Helpers--Production Workers,-1.411304,raw_crosswalk_single_match,,notebook_raw_soc_bridge
51-9199,"Production Workers, All Other",51-9199,"Production Workers, All Other",51-9199,"Production Workers, All Other",-1.290964,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-1041,Aircraft Cargo Handling Supervisors,53-1011,Aircraft Cargo Handling Supervisors,53-1011,Aircraft Cargo Handling Supervisors,-0.7091902,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,53-1031,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators,0.1466245,manual_override,Notebook lock for missing-score review,notebook_locked_missing_score
53-2011,"Airline Pilots, Copilots, and Flight Engineers",53-2011,"Airline Pilots, Copilots, and Flight Engineers",53-2011,"Airline Pilots, Copilots, and Flight Engineers",-0.2070626,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-2012,Commercial Pilots,53-2012,Commercial Pilots,53-2012,Commercial Pilots,-0.1817332,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-2021,Air Traffic Controllers,53-2021,Air Traffic Controllers,53-2021,Air Traffic Controllers,1.152798,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-2022,Airfield Operations Specialists,53-2022,Airfield Operations Specialists,53-2022,Airfield Operations Specialists,0.4845738,raw_crosswalk_single_match,,notebook_raw_soc_bridge
53-2031,Flight Attendants,53-2031,Flight Attendants,53-2031,Flight Attendants,-0.7621183,raw_crosswalk_single_match,,notebook_raw_soc_bridge
